AttributeID,Name,Description
company_name,name,company name
phone,phone number,company phone number
email,email,company email
address,address,company address
beneficial_owner,beneficial owner,beneficial owner of the company
director,company director,director of the company
tender,tender,id of tender in public procurement
item,item,id of line item in public procurement
buyer,buyer,id of buyer in public procurement
EntityWeight,contract value,total contract value awarded to the entity in the past 5 years
