EntityID,FlagID,Evidence
1416,F7,FININT: Entity 1416 is linked to flag market division in data sources on money transactions
1525,F6,OSINT: Entity 1525 is linked to flag politically-exposed person in open data sources
1537,F3,OSINT: Entity 1537 is linked to flag litigated in open data sources
1666,F4,DNINT: Entity 1666 is linked to flag front person in digital network intelligence data
1728,F1,OSINT: Entity 1728 is linked to flag fined in open data sources
1863,F7,FININT: Entity 1863 is linked to flag market division in data sources on money transactions
2067,F9,FININT: Entity 2067 is linked to flag price fixing in data sources on money transactions
2399,F9,FININT: Entity 2399 is linked to flag price fixing in data sources on money transactions
2649,F8,FININT: Entity 2649 is linked to flag bid rigging in data sources on money transactions
2846,F9,FININT: Entity 2846 is linked to flag price fixing in data sources on money transactions
2862,F5,OSINT: Entity 2862 is linked to flag convicted criminal in open data sources
2870,F2,OSINT: Entity 2870 is linked to flag sanctioned in open data sources
2940,F7,FININT: Entity 2940 is linked to flag market division in data sources on money transactions
3001,F2,OSINT: Entity 3001 is linked to flag sanctioned in open data sources
3005,F4,DNINT: Entity 3005 is linked to flag front person in digital network intelligence data
3007,F6,OSINT: Entity 3007 is linked to flag politically-exposed person in open data sources
3016,F1,OSINT: Entity 3016 is linked to flag fined in open data sources
3113,F5,OSINT: Entity 3113 is linked to flag convicted criminal in open data sources
3231,F2,OSINT: Entity 3231 is linked to flag sanctioned in open data sources
3420,F2,OSINT: Entity 3420 is linked to flag sanctioned in open data sources
3437,F5,OSINT: Entity 3437 is linked to flag convicted criminal in open data sources
3440,F2,OSINT: Entity 3440 is linked to flag sanctioned in open data sources
3480,F7,FININT: Entity 3480 is linked to flag market division in data sources on money transactions
3966,F9,FININT: Entity 3966 is linked to flag price fixing in data sources on money transactions
3994,F6,OSINT: Entity 3994 is linked to flag politically-exposed person in open data sources
4007,F6,OSINT: Entity 4007 is linked to flag politically-exposed person in open data sources
1372,F9,FININT: Entity 1372 is linked to flag price fixing in data sources on money transactions
1453,F6,OSINT: Entity 1453 is linked to flag politically-exposed person in open data sources
1525,F1,OSINT: Entity 1525 is linked to flag fined in open data sources
1584,F4,DNINT: Entity 1584 is linked to flag front person in digital network intelligence data
1769,F7,FININT: Entity 1769 is linked to flag market division in data sources on money transactions
1883,F1,OSINT: Entity 1883 is linked to flag fined in open data sources
2056,F4,DNINT: Entity 2056 is linked to flag front person in digital network intelligence data
2087,F1,OSINT: Entity 2087 is linked to flag fined in open data sources
2241,F3,OSINT: Entity 2241 is linked to flag litigated in open data sources
2391,F1,OSINT: Entity 2391 is linked to flag fined in open data sources
2531,F4,DNINT: Entity 2531 is linked to flag front person in digital network intelligence data
2805,F3,OSINT: Entity 2805 is linked to flag litigated in open data sources
2831,F2,OSINT: Entity 2831 is linked to flag sanctioned in open data sources
2836,F8,FININT: Entity 2836 is linked to flag bid rigging in data sources on money transactions
2852,F7,FININT: Entity 2852 is linked to flag market division in data sources on money transactions
2858,F1,OSINT: Entity 2858 is linked to flag fined in open data sources
2885,F4,DNINT: Entity 2885 is linked to flag front person in digital network intelligence data
3066,F5,OSINT: Entity 3066 is linked to flag convicted criminal in open data sources
3074,F3,OSINT: Entity 3074 is linked to flag litigated in open data sources
3089,F6,OSINT: Entity 3089 is linked to flag politically-exposed person in open data sources
3090,F2,OSINT: Entity 3090 is linked to flag sanctioned in open data sources
3179,F7,FININT: Entity 3179 is linked to flag market division in data sources on money transactions
3342,F4,DNINT: Entity 3342 is linked to flag front person in digital network intelligence data
3359,F3,OSINT: Entity 3359 is linked to flag litigated in open data sources
3399,F3,OSINT: Entity 3399 is linked to flag litigated in open data sources
3603,F8,FININT: Entity 3603 is linked to flag bid rigging in data sources on money transactions
3704,F2,OSINT: Entity 3704 is linked to flag sanctioned in open data sources
3711,F5,OSINT: Entity 3711 is linked to flag convicted criminal in open data sources
3798,F8,FININT: Entity 3798 is linked to flag bid rigging in data sources on money transactions
3818,F1,OSINT: Entity 3818 is linked to flag fined in open data sources
3920,F2,OSINT: Entity 3920 is linked to flag sanctioned in open data sources
3924,F7,FININT: Entity 3924 is linked to flag market division in data sources on money transactions
1480,F1,OSINT: Entity 1480 is linked to flag fined in open data sources
1556,F5,OSINT: Entity 1556 is linked to flag convicted criminal in open data sources
1628,F5,OSINT: Entity 1628 is linked to flag convicted criminal in open data sources
1784,F3,OSINT: Entity 1784 is linked to flag litigated in open data sources
1861,F5,OSINT: Entity 1861 is linked to flag convicted criminal in open data sources
2184,F1,OSINT: Entity 2184 is linked to flag fined in open data sources
2276,F6,OSINT: Entity 2276 is linked to flag politically-exposed person in open data sources
2566,F9,FININT: Entity 2566 is linked to flag price fixing in data sources on money transactions
2575,F7,FININT: Entity 2575 is linked to flag market division in data sources on money transactions
2577,F2,OSINT: Entity 2577 is linked to flag sanctioned in open data sources
2596,F5,OSINT: Entity 2596 is linked to flag convicted criminal in open data sources
2666,F4,DNINT: Entity 2666 is linked to flag front person in digital network intelligence data
2681,F4,DNINT: Entity 2681 is linked to flag front person in digital network intelligence data
3080,F2,OSINT: Entity 3080 is linked to flag sanctioned in open data sources
3211,F7,FININT: Entity 3211 is linked to flag market division in data sources on money transactions
3231,F6,OSINT: Entity 3231 is linked to flag politically-exposed person in open data sources
3274,F8,FININT: Entity 3274 is linked to flag bid rigging in data sources on money transactions
3292,F7,FININT: Entity 3292 is linked to flag market division in data sources on money transactions
3314,F5,OSINT: Entity 3314 is linked to flag convicted criminal in open data sources
3419,F1,OSINT: Entity 3419 is linked to flag fined in open data sources
3443,F8,FININT: Entity 3443 is linked to flag bid rigging in data sources on money transactions
3486,F9,FININT: Entity 3486 is linked to flag price fixing in data sources on money transactions
3548,F7,FININT: Entity 3548 is linked to flag market division in data sources on money transactions
3644,F6,OSINT: Entity 3644 is linked to flag politically-exposed person in open data sources
3658,F4,DNINT: Entity 3658 is linked to flag front person in digital network intelligence data
3679,F6,OSINT: Entity 3679 is linked to flag politically-exposed person in open data sources
3762,F4,DNINT: Entity 3762 is linked to flag front person in digital network intelligence data
3765,F2,OSINT: Entity 3765 is linked to flag sanctioned in open data sources
3891,F8,FININT: Entity 3891 is linked to flag bid rigging in data sources on money transactions
3948,F9,FININT: Entity 3948 is linked to flag price fixing in data sources on money transactions
1314,F8,FININT: Entity 1314 is linked to flag bid rigging in data sources on money transactions
1315,F9,FININT: Entity 1315 is linked to flag price fixing in data sources on money transactions
1322,F2,OSINT: Entity 1322 is linked to flag sanctioned in open data sources
1450,F5,OSINT: Entity 1450 is linked to flag convicted criminal in open data sources
1497,F1,OSINT: Entity 1497 is linked to flag fined in open data sources
1635,F3,OSINT: Entity 1635 is linked to flag litigated in open data sources
1653,F3,OSINT: Entity 1653 is linked to flag litigated in open data sources
1667,F3,OSINT: Entity 1667 is linked to flag litigated in open data sources
1846,F8,FININT: Entity 1846 is linked to flag bid rigging in data sources on money transactions
1956,F8,FININT: Entity 1956 is linked to flag bid rigging in data sources on money transactions
1983,F6,OSINT: Entity 1983 is linked to flag politically-exposed person in open data sources
2050,F5,OSINT: Entity 2050 is linked to flag convicted criminal in open data sources
2050,F6,OSINT: Entity 2050 is linked to flag politically-exposed person in open data sources
2089,F8,FININT: Entity 2089 is linked to flag bid rigging in data sources on money transactions
2144,F1,OSINT: Entity 2144 is linked to flag fined in open data sources
2144,F4,DNINT: Entity 2144 is linked to flag front person in digital network intelligence data
2158,F7,FININT: Entity 2158 is linked to flag market division in data sources on money transactions
2193,F2,OSINT: Entity 2193 is linked to flag sanctioned in open data sources
2259,F6,OSINT: Entity 2259 is linked to flag politically-exposed person in open data sources
2402,F3,OSINT: Entity 2402 is linked to flag litigated in open data sources
2504,F5,OSINT: Entity 2504 is linked to flag convicted criminal in open data sources
2519,F2,OSINT: Entity 2519 is linked to flag sanctioned in open data sources
2526,F4,DNINT: Entity 2526 is linked to flag front person in digital network intelligence data
2530,F8,FININT: Entity 2530 is linked to flag bid rigging in data sources on money transactions
2762,F3,OSINT: Entity 2762 is linked to flag litigated in open data sources
2762,F5,OSINT: Entity 2762 is linked to flag convicted criminal in open data sources
2879,F6,OSINT: Entity 2879 is linked to flag politically-exposed person in open data sources
2888,F2,OSINT: Entity 2888 is linked to flag sanctioned in open data sources
3007,F1,OSINT: Entity 3007 is linked to flag fined in open data sources
3117,F1,OSINT: Entity 3117 is linked to flag fined in open data sources
3134,F1,OSINT: Entity 3134 is linked to flag fined in open data sources
3189,F7,FININT: Entity 3189 is linked to flag market division in data sources on money transactions
3480,F9,FININT: Entity 3480 is linked to flag price fixing in data sources on money transactions
3647,F6,OSINT: Entity 3647 is linked to flag politically-exposed person in open data sources
3670,F1,OSINT: Entity 3670 is linked to flag fined in open data sources
3746,F7,FININT: Entity 3746 is linked to flag market division in data sources on money transactions
3846,F9,FININT: Entity 3846 is linked to flag price fixing in data sources on money transactions
3904,F8,FININT: Entity 3904 is linked to flag bid rigging in data sources on money transactions
3920,F8,FININT: Entity 3920 is linked to flag bid rigging in data sources on money transactions
1360,F8,FININT: Entity 1360 is linked to flag bid rigging in data sources on money transactions
1451,F1,OSINT: Entity 1451 is linked to flag fined in open data sources
1481,F6,OSINT: Entity 1481 is linked to flag politically-exposed person in open data sources
1514,F8,FININT: Entity 1514 is linked to flag bid rigging in data sources on money transactions
1605,F7,FININT: Entity 1605 is linked to flag market division in data sources on money transactions
1648,F8,FININT: Entity 1648 is linked to flag bid rigging in data sources on money transactions
