EntityID,AttributeID,Value,TimePeriod
10292,buyer,buyer:10819,2023-03
7242,tender,tender:77,2021-11
2,item,item:67979,2022-08
14876,buyer,buyer:5199,2023-06
2980,item,item:64708,2022-05
14802,tender,tender:1113,2022-05
12889,item,item:26638,2023-01
8340,item,item:18241,2022-03
13187,item,item:25022,2022-03
692,tender,tender:436,2022-01
13494,tender,tender:2179,2022-11
1907,item,item:5940,2023-03
5995,tender,tender:1064,2022-05
18160,item,item:51606,2022-12
11556,buyer,buyer:66036,2021-12
1256,item,item:57120,2023-06
11815,item,item:167,2022-11
4583,tender,tender:2705,2023-02
14174,buyer,buyer:45026,2021-11
15415,buyer,buyer:4052,2023-01
191,buyer,buyer:370,2022-06
12060,item,item:287,2022-10
18046,buyer,buyer:25111,2021-12
17769,buyer,buyer:34679,2021-11
4069,item,item:13126,2022-04
14828,item,item:47706,2023-06
9833,item,item:31371,2021-12
3763,item,item:11378,2021-11
2060,item,item:537,2022-12
18453,item,item:16137,2022-07
14022,buyer,buyer:10760,2021-12
11153,tender,tender:1814,2022-09
18658,tender,tender:1072,2022-05
11497,item,item:26829,2022-11
15876,item,item:45940,2022-10
13149,tender,tender:1431,2022-07
17173,buyer,buyer:3449,2022-05
3766,item,item:36113,2023-02
8665,item,item:27611,2022-09
12503,item,item:40126,2022-10
7235,tender,tender:2482,2023-01
6097,item,item:52405,2022-10
3085,buyer,buyer:749,2021-11
7095,item,item:4083,2022-01
3215,item,item:64520,2023-06
12267,tender,tender:616,2022-02
4790,tender,tender:1112,2022-05
18148,item,item:19304,2023-04
16172,buyer,buyer:51424,2022-01
5941,buyer,buyer:139,2022-09
3509,item,item:58745,2021-11
56,buyer,buyer:64,2022-06
923,item,item:359,2021-12
901,tender,tender:1981,2022-10
17645,tender,tender:1843,2022-09
10302,item,item:1203,2023-04
7005,buyer,buyer:22030,2022-01
9440,tender,tender:728,2022-03
7793,item,item:14591,2022-09
13617,tender,tender:2862,2023-03
14052,tender,tender:2173,2022-11
46,tender,tender:10,2021-11
8859,tender,tender:2501,2023-01
7062,item,item:22685,2022-08
19851,item,item:12731,2023-04
10615,tender,tender:58,2021-11
845,item,item:56960,2022-10
12769,tender,tender:749,2022-03
5077,buyer,buyer:16108,2022-11
2708,tender,tender:1051,2022-05
12629,tender,tender:953,2022-04
17661,buyer,buyer:67967,2023-06
12832,buyer,buyer:26496,2023-02
12445,buyer,buyer:33513,2022-09
13576,buyer,buyer:30231,2022-09
4908,buyer,buyer:15401,2021-12
17787,tender,tender:2858,2023-03
14668,buyer,buyer:3116,2023-06
5317,item,item:17122,2022-01
17148,item,item:28721,2023-06
15096,buyer,buyer:38741,2023-02
17729,item,item:3732,2023-01
14227,item,item:15280,2021-12
17848,item,item:56966,2021-11
813,tender,tender:1998,2022-10
14716,item,item:3471,2023-03
4852,item,item:16196,2023-06
1751,tender,tender:43,2021-11
9789,buyer,buyer:83,2022-06
15627,buyer,buyer:35517,2023-04
9848,buyer,buyer:29029,2021-11
1887,item,item:15029,2022-05
4214,tender,tender:55,2021-11
164,item,item:21586,2022-11
702,buyer,buyer:40711,2023-05
12703,item,item:33573,2022-12
10582,buyer,buyer:33340,2022-01
2604,tender,tender:735,2022-03
5861,item,item:14283,2022-10
7530,item,item:23737,2022-08
16297,buyer,buyer:51849,2021-12
19983,tender,tender:2640,2023-02
10412,buyer,buyer:32509,2022-02
7292,item,item:20659,2022-03
12376,buyer,buyer:12825,2021-11
15985,tender,tender:1811,2022-09
8553,item,item:16130,2023-05
15973,tender,tender:3025,2023-04
13087,tender,tender:711,2022-03
15756,buyer,buyer:8010,2022-10
7960,item,item:25456,2023-05
2441,buyer,buyer:6829,2021-12
8688,tender,tender:1465,2022-07
2058,item,item:6594,2022-12
2415,item,item:31842,2023-02
5086,item,item:16418,2022-04
19653,item,item:1350,2022-11
3105,buyer,buyer:17493,2022-06
7592,item,item:23957,2023-01
5886,item,item:12215,2022-08
17509,buyer,buyer:5504,2023-03
18430,tender,tender:2808,2023-03
15309,tender,tender:620,2022-02
9248,item,item:14776,2023-03
587,item,item:2120,2022-01
8438,buyer,buyer:26589,2022-02
5562,tender,tender:2465,2023-01
4631,buyer,buyer:14575,2021-11
